audio_id,sentence_id,audio_path,ref,ref_lang,matrix_lang,language_pair,domain,category,is_emergency,accent,country,device_type,noise_condition,snr_db,speaker_id,duration_s,gloss_en
yo_01,yo_01,audio/yo_01.wav,"Mo ti n ni malaria symptoms, ara mi gbona feli feli lati ana.",yo yo yo yo en en yo yo yo yo yo yo yo,yo,yo-en,health,Malaria/Fever,no,,NG,,quiet,29.8,,8.36,"I have been having malaria symptoms, my body has been very hot since yesterday."
yo_02,yo_02,audio/yo_02.wav,"Mo ni severe headache, orí mi n fọ́ bi pe won n lu ilu nibe.",yo yo en yo yo yo yo yo yo yo yo yo yo yo yo,yo,yo-en,health,Headache/Migraine,no,,NG,,quiet,31.3,,8.19,"I have a severe headache, my head is aching like they are beating a drum inside it."
yo_03,yo_03,audio/yo_03.wav,"Inú mi n run mi, like a very sharp pain lati aro.",yo yo yo yo yo en en en en en yo yo,yo,yo-en,health,Stomach pain,no,,NG,,quiet,31.6,,6.83,"My stomach is hurting me, like a very sharp pain since morning."
yo_04,yo_04,audio/yo_04.wav,"Mo ti n purge and vomit lati alẹ ana, I am very weak.",yo yo yo en en en yo yo yo en en en en,yo,yo-en,health,Diarrhea/Vomiting,no,,NG,,quiet,30.2,,8.43,"I have been purging and vomiting since last night, I am very weak."
yo_05,yo_05,audio/yo_05.wav,"Cough and catarrh yi ti fe pa mi, my chest is feeling very tight.",en en yo yo yo yo yo yo en en en en en en,yo,yo-en,health,Cough/Catarrh,no,,NG,,quiet,24.4,,7.55,"This cough and catarrh wants to kill me, my chest is feeling very tight."
yo_06,yo_06,audio/yo_06.wav,"Chest mi n dun mi seriously, it feels like a heavy block is on my chest.",en yo yo yo yo en en yo en en en yo en en en en,yo,yo-en,health,Chest pain,yes,,NG,,quiet,26.4,,8.26,"My chest is hurting me seriously, it feels like a heavy block is on my chest."
yo_07,yo_07,audio/yo_07.wav,"Ejo e ba mi da ẹjẹ yi duro, the bleeding is too much from this cut.",yo yo yo yo yo yo yo yo en en en en en en en en,yo,yo-en,health,Bleeding,yes,,NG,,quiet,25.6,,8.34,"Please help me stop this blood, the bleeding is too much from this cut."
yo_08,yo_08,audio/yo_08.wav,"I can't breathe well, ẹmí mi n kéré, please help me.",en en en en yo yo yo yo en en en,yo,yo-en,health,Breathing,yes,,NG,,quiet,25.3,,7.15,"I can't breathe well, my breath is short, please help me."
yo_09,yo_09,audio/yo_09.wav,"Ọmọ mi n convulse, e gba mi o, his eyes are rolling back!",yo yo yo en yo yo yo yo en en en en en,yo,yo-en,health,Seizure,yes,,NG,,quiet,27.0,,7.00,"My child is convulsing, please save me, his eyes are rolling back!"
yo_10,yo_10,audio/yo_10.wav,"Gbogbo joints mi n dun mi, like say I do hard labour.",yo yo yo yo yo yo en en en en en en,yo,yo-en,health,Joint pain,no,,NG,,quiet,25.8,,5.95,"All my joints are hurting me, like I did hard labor."
yo_11,yo_11,audio/yo_11.wav,"Ẹyìn mi n dun mi, the back pain is radiating down to my leg.",yo yo yo yo yo en en en en en en en en en,yo,yo-en,health,Back pain,no,,NG,,quiet,26.0,,5.91,"My back is hurting me, the back pain is radiating down to my leg."
yo_12,yo_12,audio/yo_12.wav,"I am five months pregnant, ati pe mo n ni spotting lẹẹkọọkan.",en en yo en en yo yo yo yo yo en yo,yo,yo-en,health,Pregnancy,no,,NG,,quiet,30.4,,8.38,"I am five months pregnant, and I am having spotting occasionally."
yo_13,yo_13,audio/yo_13.wav,"Oju mi n ro mi, it's very red and producing plenty water.",yo yo yo yo yo en en en en en yo en,yo,yo-en,health,Eye redness,no,,NG,,quiet,30.9,,6.78,"My eye is paining me, it's very red and producing plenty water."
yo_14,yo_14,audio/yo_14.wav,"Fever ọmọ yi ti ga ju, his temperature is burning.",en yo yo yo yo yo en en en en,yo,yo-en,health,Pediatric Fever,no,,NG,,quiet,24.2,,8.23,"This child's fever is too high, his temperature is burning."
yo_15,yo_15,audio/yo_15.wav,"Ti mo ba n urinate, I just feel this terrible burning sensation.",yo yo yo yo en en en en en en en yo,yo,yo-en,health,Painful urination,no,,NG,,quiet,20.6,,7.04,"When I am urinating, I just feel this terrible burning sensation."
yo_16,yo_16,audio/yo_16.wav,"Oju n su mi, I am feeling very dizzy whenever I stand up.",yo yo yo yo en en en en en en en en en,yo,yo-en,health,Dizziness,no,,NG,,quiet,28.4,,7.23,"My eyes are getting dark/dizzy, I am feeling very dizzy whenever I stand up."
yo_17,yo_17,audio/yo_17.wav,"Toothache yi n fun mi ni sleepless nights, eyin mi n dun.",en yo yo yo yo yo en en yo yo yo yo,yo,yo-en,health,Toothache,no,,NG,,quiet,31.4,,7.23,"This toothache is giving me sleepless nights, my tooth is hurting."
yo_18,yo_18,audio/yo_18.wav,"Mo ni serious rashes ni gbogbo ara mi, o n ta mi.",yo yo en en yo yo yo yo yo yo yo yo,yo,yo-en,health,Skin rash,no,,NG,,quiet,29.9,,7.40,"I have serious rashes all over my body, it is stinging/itching me."
yo_19,yo_19,audio/yo_19.wav,"Ọfun mi n gbe mi, it's very hard to swallow food or water.",yo yo yo yo yo en en en en en yo en en,yo,yo-en,health,Sore throat,no,,NG,,quiet,30.9,,9.39,"My throat is dry/sore, it's very hard to swallow food or water."
yo_20,yo_20,audio/yo_20.wav,"Ara mi o ni agbara rara, I just feel general weakness.",yo yo yo yo yo yo en en en en yo,yo,yo-en,health,Fatigue/Weakness,no,,NG,,quiet,26.9,,7.40,"My body has no strength at all, I just feel general weakness."
yo_21,yo_21,audio/yo_21.wav,Mo ti lo Paracetamol for two days but the fever didn't go down.,yo yo yo en en yo en en en en en en en,yo,yo-en,health,Medication history,no,,NG,,quiet,28.7,,9.13,I have used Paracetamol for two days but the fever didn't go down.
yo_22,yo_22,audio/yo_22.wav,"Inu eti mi n dun mi, I am hearing a constant ringing sound.",yo yo yo yo yo yo en en yo en en en en,yo,yo-en,health,Ear pain,no,,NG,,quiet,26.1,,6.74,"Inside my ear is hurting me, I am hearing a constant ringing sound."
yo_23,yo_23,audio/yo_23.wav,"Mo sprain ankle mi nigbati mo n sare, ẹsẹ mi ti wu.",yo en yo yo yo yo yo yo yo yo yo yo,yo,yo-en,health,Sprain,no,,NG,,quiet,27.9,,5.63,"I sprained my ankle when I was running, my leg has swollen."
yo_24,yo_24,audio/yo_24.wav,"The symptoms started like three weeks ago, o kan n continue ni.",en en en en en en yo yo yo yo en yo,yo,yo-en,health,Duration/Onset,no,,NG,,quiet,26.1,,6.34,"The symptoms started like three weeks ago, it just keeps continuing."
yo_25,yo_25,audio/yo_25.wav,"They tested me for typhoid last week, but inu mi si n run.",en en en en en en en en yo yo yo yo yo,yo,yo-en,health,Typhoid,no,,NG,,quiet,24.9,,7.64,"They tested me for typhoid last week, but my stomach is still upsetting me."
ig_01,ig_01,audio/ig_01.wav,"Ahụ na-ọkụ m, I think I have heavy malaria.",ig ig ig en en en en en en,ig,ig-en,health,Malaria/Fever,no,,NG,,quiet,44.2,,1.34,"My body is hot, I think I have heavy malaria."
ig_02,ig_02,audio/ig_02.wav,"Isi ọwụwa a na-achọ igbu m, it's a very severe migraine.",ig ig en ig ig ig en en en en en,ig,ig-en,health,Headache/Migraine,no,,NG,,quiet,31.3,,2.45,"This headache wants to kill me, it's a very severe migraine."
ig_03,ig_03,audio/ig_03.wav,"Afọ na-egbu m, the stomach pain is too sharp and constant.",ig ig ig en en en en en en en en,ig,ig-en,health,Stomach pain,no,,NG,,quiet,43.0,,1.94,"My stomach is aching me, the stomach pain is too sharp and constant."
ig_04,ig_04,audio/ig_04.wav,"A na m a-purge kemgbe ụnyaahụ, and I am vomiting as well.",en ig ig ig ig ig en en en en ig en,ig,ig-en,health,Diarrhea/Vomiting,no,,NG,,quiet,32.1,,2.41,"I have been purging since yesterday, and I am vomiting as well."
ig_05,ig_05,audio/ig_05.wav,"Ụkwara na azụzụ a jọgburu onwe ya, my chest is so tight.",ig ig ig en ig ig ig en en en ig en,ig,ig-en,health,Cough/Catarrh,no,,NG,,quiet,38.5,,2.84,"This cough and catarrh is terrible, my chest is so tight."
ig_06,ig_06,audio/ig_06.wav,"Obi na-egbu m seriously, it feels like a heavy weight on my chest.",ig ig ig en en ig en en en ig en en en,ig,ig-en,health,Chest pain,yes,,NG,,quiet,46.6,,3.16,"My chest is hurting me seriously, it feels like a heavy weight on my chest."
ig_07,ig_07,audio/ig_07.wav,"Ọbara na-agba m nke ukwuu, the bleeding just won't stop.",ig ig ig ig ig en en en en en,ig,ig-en,health,Bleeding,yes,,NG,,quiet,43.4,,3.71,"I am bleeding heavily, the bleeding just won't stop."
ig_08,ig_08,audio/ig_08.wav,"Enweghị m ike iku ume ọfụma, I am gasping for air.",ig ig ig ig ig ig en en en en ig,ig,ig-en,health,Breathing,yes,,NG,,quiet,41.4,,3.05,"I cannot breathe well, I am gasping for air."
ig_09,ig_09,audio/ig_09.wav,"Nwa a na-convulse, please attend to him fast before it's too late!",ig en ig en ig en en en en en en ig,ig,ig-en,health,Seizure,yes,,NG,,quiet,50.6,,4.93,"This child is convulsing, please attend to him fast before it's too late!"
ig_10,ig_10,audio/ig_10.wav,"Nkwonkwo m niile na-egbu m mgbu, my joints are aching terribly.",ig ig ig ig ig ig en ig en ig en,ig,ig-en,health,Joint pain,no,,NG,,quiet,34.2,,7.72,"All my joints are aching me, my joints are aching terribly."
ig_11,ig_11,audio/ig_11.wav,"Azụ na-egbu m, the back pain is radiating down to my waist.",ig ig ig en en en en en en en en ig,ig,ig-en,health,Back pain,no,,NG,,quiet,28.7,,2.65,"My back is aching me, the back pain is radiating down to my waist."
ig_12,ig_12,audio/ig_12.wav,"A dị m ime ọnwa isii, but I am having lower abdominal pains.",en ig ig ig ig ig en en en en en ig en,ig,ig-en,health,Pregnancy,no,,NG,,quiet,35.2,,2.75,"I am six months pregnant, but I am having lower abdominal pains."
ig_13,ig_13,audio/ig_13.wav,"Anya m na-egbu m, it is red and bringing out sticky water.",ig ig ig ig en en en en ig en ig en,ig,ig-en,health,Eye pain,no,,NG,,quiet,30.6,,1.56,"My eye is hurting me, it is red and bringing out sticky water."
ig_14,ig_14,audio/ig_14.wav,"Nwa m nwoke nwere high temperature, ahụ ya na-ọkụ ka ọkụ.",ig ig ig ig en en ig ig ig ig ig,ig,ig-en,health,Pediatric fever,no,,NG,,quiet,43.7,,9.79,"My son has a high temperature, his body is hot like fire."
ig_15,ig_15,audio/ig_15.wav,"Ọ na-agba m ọkụ ma m na-amịmamịrị, the painful urination is severe.",ig ig ig ig ig ig ig en en en en en,ig,ig-en,health,Painful urination,no,,NG,,quiet,38.2,,3.48,"It burns me when I am urinating, the painful urination is severe."
