audio_id,sentence_id,audio_path,ref,ref_lang,matrix_lang,language_pair,domain,category,is_emergency,accent,country,device_type,noise_condition,snr_db,speaker_id,duration_s,gloss_en
pcm_01,pcm_01,audio/pcm_01.wav,"My body dey hot me well well, I think say na heavy malaria.",en en pcm en en en en en en en pcm en en,pcm,pcm-en,health,Malaria/Fever,no,,NG,,,,,,"My body is very hot, I think it is severe malaria."
pcm_02,pcm_02,audio/pcm_02.wav,This migraine just dey knock my head like say dem dey beat drum.,en en en pcm pcm en pcm en en pcm pcm pcm pcm,pcm,pcm-en,health,Headache/Migraine,no,,NG,,,,,,This migraine is pounding my head like they are beating a drum.
pcm_03,pcm_03,audio/pcm_03.wav,"My belle dey bite me, the pain no be small thing at all.",en pcm pcm pcm en en en en en en en en en,pcm,pcm-en,health,Stomach pain,no,,NG,,,,,,"My stomach is griping me, the pain is not a small thing at all."
pcm_04,pcm_04,audio/pcm_04.wav,"I don stool and vomit tire since last night, I weak completely.",en pcm en en en pcm en en en en en en,pcm,pcm-en,health,Diarrhea/Vomiting,no,,NG,,,,,,"I have had diarrhea and vomited exhaustively since last night, I am completely weak."
pcm_05,pcm_05,audio/pcm_05.wav,"This dry cough no dey let me sleep, my chest just dey tight.",en en en en pcm en en en en en en pcm en,pcm,pcm-en,health,Cough/Catarrh,no,,NG,,,,,,"This dry cough doesn't let me sleep, my chest is just tight."
pcm_06,pcm_06,audio/pcm_06.wav,"My chest dey pain me scatter, the pain dey travel go my left arm.",en en pcm en en pcm en en pcm en en en en pcm,pcm,pcm-en,health,Chest pain,yes,,NG,,,,,,"My chest is hurting me terribly, the pain is traveling to my left arm."
pcm_07,pcm_07,audio/pcm_07.wav,"Abeg help me quick, blood just dey rush from this deep cut.",pcm en en pcm en en pcm en en en en en,pcm,pcm-en,health,Bleeding,yes,,NG,,,,,,"Please help me quickly, blood is just rushing from this deep cut."
pcm_08,pcm_08,audio/pcm_08.wav,"I no fit catch my breath, I dey struggle to breathe well.",en en pcm en en en en pcm en en en en,pcm,pcm-en,health,Breathing,yes,,NG,,,,,,"I can't catch my breath, I am struggling to breathe properly."
pcm_09,pcm_09,audio/pcm_09.wav,"My brother just faint now now, he no dey respond to anything.",en pcm en en en en en en pcm en en pcm,pcm,pcm-en,health,Loss of consciousness,yes,,NG,,,,,,"My brother just fainted right now, he is not responding to anything."
pcm_10,pcm_10,audio/pcm_10.wav,"All my joints just dey ache me, I no even get strength to waka.",en en pcm en pcm pcm en en en en en en en pcm,pcm,pcm-en,health,Joint pain,no,,NG,,,,,,"All my joints are just aching me, I don't even have the strength to walk."
pcm_11,pcm_11,audio/pcm_11.wav,"Severe back pain dey worry me, to bend down na problem.",en en en pcm pcm en en pcm en pcm en,pcm,pcm-en,health,Back pain,no,,NG,,,,,,"Severe back pain is bothering me, bending down is a problem."
pcm_12,pcm_12,audio/pcm_12.wav,"I get belle like six months, and my lower back dey pain me bad.",en en pcm en pcm en en en en en pcm en en en,pcm,pcm-en,health,Pregnancy,no,,NG,,,,,,"I am about six months pregnant, and my lower back is hurting me badly."
pcm_13,pcm_13,audio/pcm_13.wav,"My right eye don red finish, water just dey comot non-stop.",en pcm pcm pcm en pcm en en pcm pcm en,pcm,pcm-en,health,Eye pain,no,,NG,,,,,,"My right eye is completely red, water is just coming out non-stop."
pcm_14,pcm_14,audio/pcm_14.wav,"My baby body just dey hot like fire since morning, the fever too high.",en pcm en en pcm en en pcm en en en en en en,pcm,pcm-en,health,Pediatric fever,no,,NG,,,,,,"My baby's body is as hot as fire since morning, the fever is too high."
pcm_15,pcm_15,audio/pcm_15.wav,"Anytime I want pee, the thing go dey burn me terribly.",pcm en pcm en en en en pcm pcm en en,pcm,pcm-en,health,Painful urination,no,,NG,,,,,,"Anytime I want to urinate, it burns me terribly."
pcm_16,pcm_16,audio/pcm_16.wav,"My eyes dey turn me, I dey feel dizzy like say I want fall.",en en pcm pcm en en pcm en en en en en pcm pcm,pcm,pcm-en,health,Dizziness,no,,NG,,,,,,"My eyes are spinning, I am feeling dizzy like I'm going to fall."
pcm_17,pcm_17,audio/pcm_17.wav,"Toothache no let me chop anything, the side of my face don swell.",en en en en pcm pcm en pcm en en pcm pcm pcm,pcm,pcm-en,health,Toothache,no,,NG,,,,,,"Toothache hasn't let me eat anything, the side of my face is swollen."
pcm_18,pcm_18,audio/pcm_18.wav,"See as rashes full my body, e dey scratch me die.",pcm pcm en pcm en en pcm pcm pcm en pcm,pcm,pcm-en,health,Skin rash,no,,NG,,,,,,"See how rashes have covered my body, it is itching me to death."
pcm_19,pcm_19,audio/pcm_19.wav,"My throat dey scratch me, to swallow saliva na heavy work.",en pcm pcm pcm en en en pcm pcm en pcm,pcm,pcm-en,health,Sore throat,no,,NG,,,,,,"My throat is scratchy, swallowing saliva is hard work."
pcm_20,pcm_20,audio/pcm_20.wav,"I just dey feel chronic fatigue, no energy to do any work.",en en pcm en pcm pcm en pcm en en en pcm,pcm,pcm-en,health,Fatigue/Weakness,no,,NG,,,,,,"I am just feeling chronic fatigue, no energy to do any work."
pcm_21,pcm_21,audio/pcm_21.wav,I don take malaria drugs finish but the fever still dey worry me.,en pcm pcm en pcm pcm en en en en pcm pcm en,pcm,pcm-en,health,Medication history,no,,NG,,,,,,I have finished a course of malaria drugs but the fever is still bothering me.
pcm_22,pcm_22,audio/pcm_22.wav,"My ear dey pain me inside inside, I dey hear one kind noise.",en en pcm en en en en en pcm pcm en pcm pcm,pcm,pcm-en,health,Ear pain,no,,NG,,,,,,"My ear is hurting me deep inside, I am hearing a strange noise."
pcm_23,pcm_23,audio/pcm_23.wav,"I jam my leg for stone, now my ankle don swell up.",en pcm en en en pcm en en pcm pcm pcm en,pcm,pcm-en,health,Sprain,no,,NG,,,,,,"I stubbed my foot on a stone, now my ankle is swollen."
pcm_24,pcm_24,audio/pcm_24.wav,"The symptoms start like three days ago, e just dey get worse.",en en pcm en en en pcm pcm en pcm en pcm,pcm,pcm-en,health,Duration,no,,NG,,,,,,"The symptoms started about three days ago, it just keeps getting worse."
pcm_25,pcm_25,audio/pcm_25.wav,"Doctor say na typhoid I get, but my stomach still dey turn me.",pcm en pcm en en en en en en en pcm pcm en,pcm,pcm-en,health,Typhoid,no,,NG,,,,,,"The doctor said I have typhoid, but my stomach is still churning."
